"ID","Year","Age","AgeGroup","Weight","RTL","qPCRPlate","qPCRRow","Fecundity","Twinning","LambSex","LambSurvival","ReproIndex","ReproStatus"
3471,2000,4,2,23.2,2.16362134939481,29,"H",1,1,2,1,6,"3"
3471,2001,5,2,22.4,1.72912664706601,7,"C",1,1,2,1,6,"3"
3473,1998,2,2,18.6,1.33933085394694,60,"C",0,0,4,0,1,"1"
3473,2001,5,2,20.7,1.67481263386658,9,"G",1,0,2,1,3,"3"
3488,1998,2,2,17.2,1.62412148610942,51,"A",0,0,4,0,1,"1"
3488,2000,4,2,21.6,1.92770629495079,27,"B",1,0,2,1,3,"3"
3488,2001,5,2,20.3,1.83652920736784,85,"C",1,0,2,1,3,"3"
3488,2003,7,3,23.05,2.45416349545028,77,"E",1,1,4,0,4,"2"
3490,1998,2,2,22.2,1.49825848648362,53,"E",1,0,2,1,3,"3"
3490,1999,3,2,23.7,1.74045633424768,77,"G",1,0,2,1,3,"3"
3490,2000,4,2,25.8,1.55209793402988,31,"H",1,0,2,1,3,"3"
3490,2001,5,2,27.8,1.45040522130751,8,"C",1,0,1,1,3,"3"
3490,2002,6,2,26.400002,2.41507350056375,81,"E",1,0,1,1,3,"3"
3490,2003,7,3,27.35,2.29810563391481,72,"E",1,0,1,1,3,"3"
3490,2004,8,3,25.5,1.73048994061032,33,"F",1,0,2,1,3,"3"
3490,2005,9,3,25.05,1.57901510457697,34,"A",1,0,1,1,3,"3"
3490,2006,10,3,25.05,1.61230480771647,72,"B",1,0,2,1,3,"3"
3533,2003,7,3,29.4,1.80479602547621,71,"A",1,1,3,1,5,"3"
3533,2006,10,3,25.55,1.39659317577584,79,"F",1,1,3,1,6,"3"
3538,1998,2,2,24.1,1.69012937856628,46,"H",1,0,2,1,3,"3"
3538,1999,3,2,27,1.6914550874196,76,"F",1,0,2,1,3,"3"
3538,2004,8,3,23.6,1.64256806318494,32,"H",1,0,1,1,3,"3"
3552,1998,2,2,18.6,1.85648719175274,49,"D",1,0,1,1,3,"3"
3552,1999,3,2,21.5,1.37371952655677,77,"E",1,0,1,1,3,"3"
